id_produto;id_cliente;id_regiao;nr_pedido;data_compra;quantidade;unit_venda
8891347700;8891340335;E-004;1673;22/07/2020;1;17,49
6811362158;8891340356;E-003;1674;22/07/2020;1;15,49
8665258852;8038842022;E-001;1678;23/07/2020;1;38
6811358476;8899480860;E-003;1679;23/07/2020;1;14
8039211391;8899480860;E-003;1679;23/07/2020;1;18
8745422776;8899480860;E-003;1679;23/07/2020;2;15,49
8899558241;8899480860;E-003;1679;23/07/2020;1;15,49
7749168548;8312248081;E-001;1681;23/07/2020;43;6,55
8734264673;8900166799;E-005;1682;23/07/2020;1;17,49
7701222932;8900166799;E-005;1682;23/07/2020;1;15,49
6811360057;8904407966;E-004;1685;23/07/2020;1;15,49
6811356778;8904407966;E-004;1685;23/07/2020;1;11,49
6811365423;8904407966;E-004;1685;23/07/2020;1;21,49
6811354837;8904407990;E-007;1686;23/07/2020;7;13,49
6811356928;8904408004;E-004;1687;23/07/2020;1;15,49
6811356911;8904408004;E-004;1687;23/07/2020;1;15,49
6811356778;8904408004;E-004;1687;23/07/2020;1;11,49
6811362736;8904408004;E-004;1687;23/07/2020;1;11,49
6935117808;6882840658;E-003;1688;23/07/2020;1;15,49
6811365434;6882840658;E-003;1688;23/07/2020;1;21,49
6811356928;6882840658;E-003;1688;23/07/2020;1;15,49
8904481847;6882840658;E-003;1688;23/07/2020;1;15,49
8904481859;6882840658;E-003;1688;23/07/2020;1;15,49
6811354840;6882840658;E-003;1688;23/07/2020;1;15,49
6811361238;6882840658;E-003;1688;23/07/2020;1;15,49
8734264673;8909306065;E-005;1689;24/07/2020;2;17,49
7401174882;8909306065;E-005;1689;24/07/2020;1;15,49
7275113722;8911098960;E-004;1690;24/07/2020;10;22
8734264673;8911417672;E-005;1691;24/07/2020;1;17,49
8912031759;8911996559;E-003;1693;24/07/2020;10;11
7258832589;8912183051;E-001;1694;24/07/2020;10;11
6811361176;8926098977;E-012;1697;24/07/2020;1;15,49
8926121146;8926098977;E-012;1697;24/07/2020;1;15,49
6811361315;8926098977;E-012;1697;24/07/2020;1;15,49
6811357880;8930984218;E-003;1701;24/07/2020;1;13,49
6811362736;8930984218;E-003;1701;24/07/2020;1;11,49
6811354872;8930984218;E-003;1701;24/07/2020;1;15,49
6811359396;8930984218;E-003;1701;24/07/2020;1;15,49
6811360518;8930984218;E-003;1701;24/07/2020;1;15,49
7426398848;8930984218;E-003;1701;24/07/2020;1;24,9
6811364861;8939059140;E-024;1708;24/07/2020;1;19,2
6811363988;8939059140;E-024;1708;24/07/2020;1;15,95
6811354177;8939059140;E-024;1708;24/07/2020;1;15,49
8939150006;8939059140;E-024;1708;24/07/2020;1;15,49
6811364939;8939059140;E-024;1708;24/07/2020;1;21,49
6811354872;8926099010;E-001;1698;25/07/2020;1;15,49
6811356928;8926099010;E-001;1698;25/07/2020;1;15,49
6811356865;8409853028;E-004;1699;26/07/2020;2;13,49
7275113722;8923407204;E-004;1696;27/07/2020;10;22
8734264673;8930569837;E-009;1700;27/07/2020;1;17,49
8734264673;8933215760;E-007;1702;27/07/2020;2;17,49
6811356897;8939059230;E-014;1709;27/07/2020;1;15,49
6811353589;8939059254;E-004;1710;27/07/2020;1;13,49
6811353587;8939059254;E-004;1710;27/07/2020;1;13,49
6811353705;8939059280;E-001;1711;27/07/2020;1;15,49
6811358343;8939059280;E-001;1711;27/07/2020;1;15,49
6811359461;8939059305;E-007;1712;27/07/2020;1;13,49
6811361055;8939059305;E-007;1712;27/07/2020;1;13,49
6811361048;8939059305;E-007;1712;27/07/2020;1;13,49
6811355875;8939059305;E-007;1712;27/07/2020;1;13,49
6811356922;8939059328;E-004;1713;27/07/2020;1;9,48
6811356778;8939059328;E-004;1713;27/07/2020;1;9,49
6811357500;8939059328;E-004;1713;27/07/2020;1;13,49
6811358781;8939059328;E-004;1713;27/07/2020;1;13,49
6811358520;8939059328;E-004;1713;27/07/2020;1;13,49
6811354869;8939059328;E-004;1713;27/07/2020;1;13,49
6811362253;8939059354;E-004;1714;27/07/2020;2;15,49
6811363747;8939059354;E-004;1714;27/07/2020;2;15,49
6811354669;8952841431;E-004;1726;27/07/2020;1;13,49
6811360437;8952841431;E-004;1726;27/07/2020;1;13,49
6811356934;8952841431;E-004;1726;27/07/2020;1;13,49
6811362054;8952841431;E-004;1726;27/07/2020;1;13,49
6811364886;8937270811;E-004;1705;28/07/2020;1;18
6811364906;8937270811;E-004;1705;28/07/2020;1;18
8937285519;8937270811;E-004;1705;28/07/2020;1;18
7749168548;7464908997;E-012;1706;28/07/2020;20;5,55
7749168548;7464908997;E-012;1706;28/07/2020;20;5,55
7749168548;7464908997;E-012;1706;28/07/2020;20;5,55
7749168548;7464908997;E-012;1706;28/07/2020;20;5,55
6864275831;7464908997;E-012;1706;28/07/2020;20;5,55
6811362425;7464908997;E-012;1706;28/07/2020;10;0
7968122715;8937896538;E-002;1707;28/07/2020;100;9,5
7274307421;8809779703;E-001;1716;28/07/2020;1;25
7274307421;8809779703;E-001;1716;28/07/2020;1;25
8940081712;8809779703;E-001;1716;28/07/2020;8;16
6829205274;8933579700;E-007;1717;28/07/2020;100;5,55
7274307421;8933579700;E-007;1717;28/07/2020;1;5,55
7918633963;8899957253;E-004;1718;28/07/2020;10;6,55
7918633963;8899957253;E-004;1718;28/07/2020;10;6,55
7918633963;8899957253;E-004;1718;28/07/2020;10;6,55
7918633963;8899957253;E-004;1718;28/07/2020;10;6,55
7918633963;8899957253;E-004;1718;28/07/2020;10;6,55
7918633963;8899957253;E-004;1718;28/07/2020;10;6,55
7918633963;8899957253;E-004;1718;28/07/2020;10;6,55
7918633963;8899957253;E-004;1718;28/07/2020;10;6,55
8899991054;8899957253;E-004;1718;28/07/2020;1;50
7918633963;8899957253;E-004;1718;28/07/2020;10;6,55
6811362758;8945992575;E-004;1722;28/07/2020;9;58
7918633963;8945992575;E-004;1722;28/07/2020;10;12
7918633963;8946855773;E-004;1723;28/07/2020;10;9
6811362760;8948387043;E-007;1724;28/07/2020;1;135
6861667593;8948387043;E-007;1724;28/07/2020;1;11,6
6861667593;8948387043;E-007;1724;28/07/2020;1;11,6
7274307421;8948387043;E-007;1724;28/07/2020;1;25
6811365437;8948765671;E-003;1725;28/07/2020;2;20
6811363181;8952841498;E-010;1727;28/07/2020;1;26,49
6811360372;8952841512;E-004;1728;28/07/2020;1;9,99
6811360437;8952841512;E-004;1728;28/07/2020;1;9,99
6811359518;8952841535;E-001;1729;28/07/2020;1;9,99
6811354669;8952841535;E-001;1729;28/07/2020;1;9,99
8110811673;8952841535;E-001;1729;28/07/2020;1;9,99
6811364934;8952841535;E-001;1729;28/07/2020;1;9,99
6811364901;8952841535;E-001;1729;28/07/2020;1;9,99
6811360247;8952841535;E-001;1729;28/07/2020;1;9,99
6811364886;8952841535;E-001;1729;28/07/2020;1;9,99
6811362199;8952841535;E-001;1729;28/07/2020;1;9,99
6811357813;8966642478;E-003;1738;28/07/2020;1;9,99
6811357803;8966642478;E-003;1738;28/07/2020;1;9,99
6811358779;8966642478;E-003;1738;28/07/2020;1;9,99
6811362736;8966642478;E-003;1738;28/07/2020;1;9,99
6811362341;8966642478;E-003;1738;28/07/2020;1;9,99
6811358668;8966642478;E-003;1738;28/07/2020;1;9,99
6811362339;8966642478;E-003;1738;28/07/2020;1;9,99
6811365671;8966642478;E-003;1738;28/07/2020;1;9,99
6811357500;8966642478;E-003;1738;28/07/2020;1;9,99
6811358467;8966642478;E-003;1738;28/07/2020;1;9,99
6811363747;8966642478;E-003;1738;28/07/2020;1;9,99
8226357756;8956555407;E-001;1732;29/07/2020;10;11
6811357620;8876680065;E-011;1733;29/07/2020;1;9,99
6811354626;8876680065;E-011;1733;29/07/2020;1;9,99
6811354872;8876680065;E-011;1733;29/07/2020;1;9,99
7401174882;8962336794;E-004;1735;29/07/2020;1;15,49
8962384698;8962336794;E-004;1735;29/07/2020;1;15,49
8201662947;8962505906;E-004;1736;29/07/2020;10;22
6811353821;8966642531;E-004;1739;29/07/2020;1;9,99
6811362162;8966642531;E-004;1739;29/07/2020;1;9,99
6811357856;8966642531;E-004;1739;29/07/2020;2;9,99
6811360057;8966642531;E-004;1739;29/07/2020;1;9,99
6811354636;8966642531;E-004;1739;29/07/2020;1;9,99
6811357833;8966642531;E-004;1739;29/07/2020;1;9,99
6811357813;8966642557;E-004;1740;29/07/2020;1;9,99
6811359286;8966642557;E-004;1740;29/07/2020;1;9,99
6811358332;8966642557;E-004;1740;29/07/2020;1;9,99
6811358535;8966642557;E-004;1740;29/07/2020;1;9,99
6811362341;8966642557;E-004;1740;29/07/2020;1;9,99
8149224696;8966642557;E-004;1740;29/07/2020;1;9,99
6811357813;8966642582;E-001;1741;29/07/2020;1;9,99
6811354626;8966642582;E-001;1741;29/07/2020;1;9,99
6811354984;8966642582;E-001;1741;29/07/2020;1;9,99
6811357750;8966642582;E-001;1741;29/07/2020;1;9,99
6811365437;8966642598;E-004;1742;29/07/2020;2;9,99
6811364867;8966642598;E-004;1742;29/07/2020;2;9,99
6811357817;8966642598;E-004;1742;29/07/2020;1;9,99
6811359265;8966642598;E-004;1742;29/07/2020;1;9,99
6811356911;8966642598;E-004;1742;29/07/2020;1;9,99
6811356928;8966642598;E-004;1742;29/07/2020;1;9,99
6811357120;8966642598;E-004;1742;29/07/2020;1;9,99
8110811673;8966642598;E-004;1742;29/07/2020;1;9,99
6905194850;8966642598;E-004;1742;29/07/2020;1;9,99
6811363732;8966642598;E-004;1742;29/07/2020;1;9,99
6811364894;8966642598;E-004;1742;29/07/2020;1;9,99
